Brand Name,Campaign Name,AdvertiserName,TTD Campaign Name
3c3c,3c3c - 2300AC,3c3c_TW,3c3c_2300AC_2020_06_TW
3M,Command GP,3M_SG,3M_Command GP_2021_12_CPE_SG
3M,3M Disposable Mop & Refill CNY Campaign HK 2021,3M_HK,3M_Disposable Mop & Refill CNY_2021_01_HK
Activision,Call Of Duty Modern Warfare,Activision,Activision Call of Duty Modern Warfare (FR)
Address,Launch,Address_AE,ADDRESS_LAUNCH_2021_01_AE
ABC,American Idol ABC S4,American Idol,American Idol | ABC S4 | Sensory Engagement | CPE
ABC,American Idol ABC S4,American Idol,American Idol | ABC S4 | Sensory Engagement | AV
AppleTV+,Foundation,Apple TV Plus,Apple TV Plus | Sensory Video | CPM | Foundations
AppleTV+,Foundation,Apple TV Plus,Apple TV Plus | Sensory Tap | CPM | Human Story
AppleTV+,Foundation,Apple TV Plus,Apple TV Plus | Sensory Tap | CPM AV | Human Story
Balenciaga,Balenciaga FW,Balenciaga_HK,Balenciaga_FW Campaign_2021_09_CPE_HK
Balenciaga,Hacker Project,Balenciaga_HK,Balenciaga_Q4 Always On_2021_12_CPE_HK
Balenciaga,Balenciaga Spring 22,Balenciaga_HK,Balenciaga_Spring 22_2021_11_CPE_HK
Bandai - Little nightmares 2,Little Nightmares,Bandai Namco,Bandai - Little nightmares 2
Bandai - Little nightmares 2,Little Nightmares,Bandai Namco,Bandai - Little nightmares 2 - CPE Algo
Bandai - Little nightmares 2,Little Nightmares,Bandai Namco,Bandai Scarlett Nexus 2021_CPM | CTR & VTR | FS & MPU | FR
Bandai - Little nightmares 2,Little Nightmares BIS,Bandai Namco,Bandai - Little nightmares 2
Bandai - Little nightmares 2,Little Nightmares BIS,Bandai Namco,Bandai - Little nightmares 2 - CPE Algo
Bandai - Little nightmares 2,Little Nightmares BIS,Bandai Namco,BEA_2021 Q1 Campaign_2021_02_CPeC_HK
Bandai - Little nightmares 2,Little Nightmares BIS,Bandai Namco,BEA_2021 Q1 Campaign_2021_02_CPeC_HK - CPE Algo
BANDAI NAMCO,Scarlet Nexus,Bandai Namco,Bandai Scarlett Nexus 2021_CPM | CTR & VTR | FS & MPU | FR - CPE Algo
BEA,SupremeAccount Revamp,BEA_HK,BEA_Supreme Account Revamp_2021_08_CPEC_HK
UGG,Classic & Mini,UGG,BIO - UGG - Dec 2021 | CPE&CTR | FS
UGG,Classic & Mini,UGG,BIO - UGG - Sept 2021 | CPE/CTR | FS
UGG,Classic & Mini,UGG,UGG - UK Sept 2021 | CPE/CTR | FS | UK
UGG,Feel YOU,UGG,BIO - UGG - Feel You | CPE & CTR | FS
UGG,Feel YOU,UGG,UGG - Feel You Oct 2021 | CPE & CTR | FS | DE
UGG,Feel YOU,UGG,UGG - Feel You Oct 2021 | CPE & CTR | FS | FR
UGG,Feel YOU,UGG,UGG - Feel You Oct 2021 | CPE & CTR | FS | UK
PUIG,Carolina Herrera - Good Girl,PUIG,BIO_PUIG_CH_JPG
PUIG,Carolina Herrera - Bad Boy,PUIG,BIO_PUIG_CH_JPG
Blue Ice Beer,Lucky Draw,Blue Ice Beer_HK,Blue Ice Beer_Lucky Draw_2021_07_CPE_HK
Blue Ice Beer,Lucky Draw,Blue Ice Beer_HK,Blue Ice Beer_Lucky Draw_2021_07_CPE_HK - CPE Algo
BMW,BMW - X Crew,BMW_ZA,BMW_X-CREW_2020_08_ZA
BMW,BMW - X Crew,BMW_ZA,BMW | X3 X4 Relaunch | 2021-12 | ZA
Boucheron,Boucheron EOY 2021 HK,Boucheron_HK,Boucheron_EOY_2020_11_HK
