campaign_name,campaign_id,advertiser_id,vertical
Timberland | Greenstrides | UK | FS & MPU | mweb,00tyn1g,iyjkhb4,Fashion
Timberland | Greenstrides | DE | FS & MPU | mweb,0cb700d,iyjkhb4,Fashion
Timberland | Greenstrides | FR | FS & MPU | mweb,lrp8hj2,iyjkhb4,Fashion
Timberland | Greenstrides | IT | FS & MPU | mweb,zqx8gzt,iyjkhb4,Fashion
KFC_MAC & CHEESE BURRITO_2021_03_SG,04c0adi,4aaxe6p,Food & Drinks
KFC_CNY_2021_02_SG - CPE Algo,o5dri69,4aaxe6p,Food & Drinks
KFC_CNY_2021_02_SG,s5140yl,4aaxe6p,Food & Drinks
Yamaha | Wolverine RMAX 1000 | Sensory User Choice | CPE - CPE Algo,04km9k8,m9os8mb,Autos
Yamaha R7 Q3 FY21 Campaign | Sensory Engagement | CPE,06uja2a,m9os8mb,Autos
Yamaha | Wolverine RMAX 1000 | Sensory Plus | AV,0jf9h9i,m9os8mb,Autos
Yamaha | Wolverine RMAX 1000 | Sensory User Choice | CPE - Look-a-Like,0sytt5e,m9os8mb,Autos
Yamaha | Wolverine RMAX 1000 | Sensory User Choice | CPE,1rtqvju,m9os8mb,Autos
Yamaha | Wolverine RMAX 1000 | Sensory User Choice | AV,2pxakzj,m9os8mb,Autos
Yamaha R7 Q3 FY21 Campaign | Sensory Plus | CPC - CPE Algo,31q0jbw,m9os8mb,Autos
Yamaha R7 Q3 FY21 Campaign | Sensory Plus | CPC AV - CPE Algo,3xpuqe4,m9os8mb,Autos
Yamaha Q2 FY21 Campaign RMAX | User Choice | CPE AV - CPE Algo,4liuood,m9os8mb,Autos
Yamaha Q2 FY21 Campaign RMAX | Sensory Plus | CPC AV,5ykmqhs,m9os8mb,Autos
Yamaha R7 Q3 FY21 Campaign | Sensory Plus | CPC,7eb8man,m9os8mb,Autos
Yamaha R7 Q3 FY21 Campaign_NEW | Sensory Plus | CPC,9twmavt,m9os8mb,Autos
